Image,Mask
E:\MedicalData\HVSMR2016\traindata/Image/0_126.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_126.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_127.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_127.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_128.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_128.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_129.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_129.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_13.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_13.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_130.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_130.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_131.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_131.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_132.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_132.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_133.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_133.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_134.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_134.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_135.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_135.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_136.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_136.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_137.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_137.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_138.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_138.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_139.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_139.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_14.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_14.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_140.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_140.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_141.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_141.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_142.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_142.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_143.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_143.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_144.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_144.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_145.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_145.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_146.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_146.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_147.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_147.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_148.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_148.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_149.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_149.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_15.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_15.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_150.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_150.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_151.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_151.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_152.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_152.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_153.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_153.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_154.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_154.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_155.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_155.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_156.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_156.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_157.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_157.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_158.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_158.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_159.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_159.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_16.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_16.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_160.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_160.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_161.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_161.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_162.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_162.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_163.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_163.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_164.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_164.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_165.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_165.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_166.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_166.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_167.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_167.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_168.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_168.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_169.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_169.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_17.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_17.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_170.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_170.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_171.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_171.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_172.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_172.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_173.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_173.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_174.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_174.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_175.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_175.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_176.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_176.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_177.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_177.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_178.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_178.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_179.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_179.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_18.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_18.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_180.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_180.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_181.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_181.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_182.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_182.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_183.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_183.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_184.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_184.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_185.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_185.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_186.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_186.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_187.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_187.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_188.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_188.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_189.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_189.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_19.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_19.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_190.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_190.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_191.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_191.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_192.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_192.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_193.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_193.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_194.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_194.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_195.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_195.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_196.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_196.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_197.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_197.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_198.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_198.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_199.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_199.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_2.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_2.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_20.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_20.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_200.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_200.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_201.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_201.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_202.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_202.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_203.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_203.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_204.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_204.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_205.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_205.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_206.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_206.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_207.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_207.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_208.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_208.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_209.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_209.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_21.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_21.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_210.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_210.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_211.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_211.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_212.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_212.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_213.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_213.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_214.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_214.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_215.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_215.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_216.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_216.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_217.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_217.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_218.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_218.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_219.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_219.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_22.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_22.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_220.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_220.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_221.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_221.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_222.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_222.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_223.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_223.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_224.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_224.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_225.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_225.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_226.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_226.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_227.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_227.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_228.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_228.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_229.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_229.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_23.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_23.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_230.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_230.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_231.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_231.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_232.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_232.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_233.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_233.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_234.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_234.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_235.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_235.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_236.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_236.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_237.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_237.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_238.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_238.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_239.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_239.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_24.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_24.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_240.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_240.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_241.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_241.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_242.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_242.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_243.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_243.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_244.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_244.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_245.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_245.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_246.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_246.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_247.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_247.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_248.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_248.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_249.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_249.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_25.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_25.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_250.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_250.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_251.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_251.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_252.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_252.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_253.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_253.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_254.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_254.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_255.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_255.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_256.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_256.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_257.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_257.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_258.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_258.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_259.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_259.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_26.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_26.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_260.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_260.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_261.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_261.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_262.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_262.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_263.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_263.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_264.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_264.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_265.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_265.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_266.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_266.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_267.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_267.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_268.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_268.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_269.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_269.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_27.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_27.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_270.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_270.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_271.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_271.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_272.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_272.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_273.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_273.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_274.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_274.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_275.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_275.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_276.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_276.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_277.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_277.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_278.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_278.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_279.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_279.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_28.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_28.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_280.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_280.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_281.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_281.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_282.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_282.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_283.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_283.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_284.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_284.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_285.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_285.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_286.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_286.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_287.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_287.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_288.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_288.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_289.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_289.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_29.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_29.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_290.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_290.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_291.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_291.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_292.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_292.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_293.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_293.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_294.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_294.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_295.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_295.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_296.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_296.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_297.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_297.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_298.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_298.npy
